,quarter,game_clock,drive_num,drive_count,poss,down,dist,yl,terr,play_type,gain_loss,gnls_to_yl,gnls_to_terr,rusher,run_dir,passer,pass_dir,pass_depth,intended,pass_result,intBy,int_terr,int_yl,pbuBy,hurriedBy,kicker,kick_yards,kick_terr,kick_yl,kick_result,fg_dist,fg_result,xp_type,xp_result,retBy,ret_yards,ret_terr,ret_yl,tackler1,tackler2,fumble_num,fumbleBy,recoveredBy,recovery_team,recov_terr,recov_yl,presnap_pen,penalty,penOn,pen_team,pen_yards,touchdown,no_play,timeout,away_points_on_play,home_points_on_play,away_points,home_points
92,2,08:34,12,1,LVC,1,10,-20,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
93,2,08:34,12,2,LVC,1,10,-20,LVC,Run,4.0,24,LVC,Dion Bryant,L,,,,,,,,,,,,,,,,,,,,,,,,John Burke,,,,,,,,,,,,,,,,0,0,3.0,9.0
94,2,08:34,12,3,LVC,2,6,-24,LVC,Run,-7.0,17,LVC,Malach Williams,L,,,,,,,,,,,,,,,,,,,,,,,,Jacob Hille,,,,,,,,,,,,,,,,0,0,3.0,9.0
95,2,08:34,12,4,LVC,3,13,-17,LVC,Pass,0.0,,,,,Braden Bohannon,L,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pass Interference,,FMC,15,,1.0,,0,0,3.0,9.0
96,2,08:34,12,5,LVC,1,10,-32,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
97,2,08:34,12,6,LVC,1,10,-32,LVC,Run,0.0,32,LVC,Logan Klitsch,R,,,,,,,,,,,,,,,,,,,,,,,,Owen Walsh,,,,,,,,,,,,,,,,0,0,3.0,9.0
98,2,08:34,12,7,LVC,2,10,-32,LVC,Pass,5.0,37,LVC,,,Logan Klitsch,L,,Malaki Blair,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
99,2,08:34,12,8,LVC,3,5,-37,LVC,Pass,0.0,,,,,Braden Bohannon,M,,Rylee Stahl,Incomplete,,,,Owen Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
100,2,08:34,12,9,LVC,4,5,-37,LVC,Run,-6.0,31,LVC,Braden Bohannon,R,,,,,,,,,,,,,,,,,,,,,,,,Luke Dauberman,,,,,,,,,,,,,,,,0,0,3.0,9.0
101,2,08:34,12,10,LVC,1,10,-49,LVC,Run,-1.0,48,LVC,Tim Ervey,L,,,,,,,,,,,,,,,,,,,,,,,,Owen Walsh,Matt Wertz,,,,,,,,,,,,,,,0,0,3.0,9.0
