School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
Redlands,Bulldogs,"Redlands, CA",SCIAC,6,Grass,2642,Redlands,https://www.goredlands.com/sports/fball/2021-22/schedule,https://www.goredlands.com/sports/fball/2022-23/schedule
Rhodes,Lynx,"Memphis, TN",SAA,3,Turf,1939,Rhodes,http://www.rhodeslynx.com//sports/football/schedule/2021,http://www.rhodeslynx.com//sports/football/schedule/2022
Ripon,Red Hawks,"Ripon, WI",MWC,5,Turf,765,Ripon College,https://riponredhawks.com//sports/football/schedule/2021,https://riponredhawks.com//sports/football/schedule/2022
Rochester,Yellowjackets,"Rochester, NY",LL,2,Turf,6371,Rochester,http://www.uofrathletics.com//sports/football/schedule/2021,http://www.uofrathletics.com//sports/football/schedule/2022
Rockford,Regents,"Rockford, IL",NACC,5,Grass,891,Rockford University,http://goregents.com/sports/football/schedule/2021,http://goregents.com/sports/football/schedule/2022
Rose-Hulman,Engineers,"Terre Haute, IN",HCAC,4,Turf,1975,Rose-Hulman,http://athletics.rose-hulman.edu//sports/football/schedule/2021,http://athletics.rose-hulman.edu//sports/football/schedule/2022
Rowan,Profs,"Glassboro, NJ",NJAC,2,Turf,14049,Rowan,http://www.rowanathletics.com//sports/football/schedule/2021,http://www.rowanathletics.com//sports/football/schedule/2022
RPI,Engineers,"Troy, NY",LL,2,Turf,6198,Rensselaer,http://www.rpiathletics.com//sports/football/schedule/2021,http://www.rpiathletics.com//sports/football/schedule/2022
Salisbury,Sea Gulls,"Salisbury, MD",NJAC,2,Turf,7081,Salisbury,http://www.suseagulls.com/sports/football/schedule/2021,http://www.suseagulls.com/sports/football/schedule/2022
Salve Regina,Seahawks,"Newport, RI",CCC,1,Turf,2085,Salve Regina,http://www.salveathletics.com/sports/fball/2021-22/schedule,http://www.salveathletics.com/sports/fball/2022-23/schedule
Sewanee,Tigers,"Sewanee, TN",SAA,3,Turf,1669,Sewanee,http://www.sewaneetigers.com//sports/football/schedule/2021,http://www.sewaneetigers.com//sports/football/schedule/2022
Shenandoah,Hornets,"Winchester, VA",ODAC,3,Turf,1989,Shenandoah Hornets,http://www.suhornets.com/sports/football/schedule/2021,http://www.suhornets.com/sports/football/schedule/2022
Simpson,Storm,"Indianola, IA",ARC,5,Turf,1159,Simpson,http://simpsonathletics.com/sports/fball/2021-22/schedule,http://simpsonathletics.com/sports/fball/2022-23/schedule
Southern Virginia,Knights,"Buena Vista, VA",USAC,3,Turf,1016,Southern Virginia,https://knightathletics.com/sports/football/schedule/2021-22,https://knightathletics.com/sports/football/schedule/2022-23
Southwestern,Pirates,"Georgetown, TX",ASC,3,Turf,1495,Southwestern,http://southwesternpirates.com/sports/m-footbl/2021-22/schedule,http://southwesternpirates.com/sports/m-footbl/2022-23/schedule
Springfield,Pride,"Springfield, MA",NEWMAC,1,Turf,2139,Springfield,http://springfieldcollegepride.com/sports/fball/2021-22/schedule,http://springfieldcollegepride.com/sports/fball/2022-23/schedule
St. John Fisher,Cardinals,"Pittsford, NY",E8,2,Turf,2535,St. John Fisher,http://athletics.sjfc.edu//sports/football/schedule/2021,http://athletics.sjfc.edu//sports/football/schedule/2022
St. John's,Johnnies,"Collegeville, MN",MIAC,6,Turf,1877,Saint John's Univ.,https://gojohnnies.com/sports/football/schedule/2021,https://gojohnnies.com/sports/football/schedule/2022
St. Lawrence,Saints,"Canton, NY",LL,2,Grass,2359,St. Lawrence,http://saintsathletics.com/sports/football/schedule/2021,http://saintsathletics.com/sports/football/schedule/2022
St. Norbert,Green Knights,"De Pere, WI",NACC,5,Turf,1956,St. Norbert College,http://athletics.snc.edu//sports/football/schedule/2021,http://athletics.snc.edu//sports/football/schedule/2022
St. Olaf,Oles,"Northfield, MN",MIAC,6,Turf,3030,St. Olaf,http://athletics.stolaf.edu//sports/football/schedule/2021,http://athletics.stolaf.edu//sports/football/schedule/2022
St. Scholastica,Saints,"Duluth, MN",MIAC,6,Turf,2058,St. Scholastica,http://csssaints.com/sports/football/schedule/2021,http://csssaints.com/sports/football/schedule/2022
St. Vincent,Bearcats,"Latrobe, PA",PAC,2,Grass,1483,St. Vincent,http://athletics.stvincent.edu/sports/football/schedule/2021,http://athletics.stvincent.edu/sports/football/schedule/2022
Stevenson,Mustangs,"Stevenson, MD",MAC,1,Turf,2724,Stevenson,http://gomustangsports.com/sports/fball/2021-22/schedule,http://gomustangsports.com/sports/fball/2022-23/schedule
Sul Ross State,Lobos,"Alpine, TX",ASC,3,Turf,1179,Sul Ross St.,http://www.srlobos.com//sports/football/schedule/2021,http://www.srlobos.com//sports/football/schedule/2022
SUNY-Maritime,Privateers,"Throggs Neck, NY",ECFC,1,Turf,1465,Maritime College,http://maritimeathletics.com//sports/football/schedule/2021,http://maritimeathletics.com//sports/football/schedule/2022
Susquehanna,River Hawks,"Selinsgrove, PA",CC,2,Turf,2291,Susquehanna,http://suriverhawks.com/sports/football/schedule/2021,http://suriverhawks.com/sports/football/schedule/2022
TCNJ,Lions,"Ewing, NJ",NJAC,2,Turf,6598,TCNJ,http://www.tcnjathletics.com//sports/football/schedule/2021,http://www.tcnjathletics.com//sports/football/schedule/2022
Texas Lutheran,Bulldogs,"Seguin, TX",ASC,3,Turf,1379,Texas Lutheran,http://www.tlubulldogs.com/sports/fball/2021-22/schedule,http://www.tlubulldogs.com/sports/fball/2022-23/schedule
Thiel,Tomcats,"Greenville, PA",PAC,2,Turf,689,Thiel,http://www.thielathletics.com//sports/football/schedule/2021,http://www.thielathletics.com//sports/football/schedule/2022
Trine,Thunder,"Angola, IN",MIAA,4,Turf,2087,Trine,http://trinethunder.com/sports/fball/2021-22/schedule,http://trinethunder.com/sports/fball/2022-23/schedule
Trinity (Conn.),Bantams,"Hartford, CT",NESCAC,1,Turf,2109,Trinity (CT),https://bantamsports.com//sports/football/schedule/2021,https://bantamsports.com//sports/football/schedule/2022
Trinity (Texas),Tigers,"San Antonio, TX",SAA,3,Turf,2397,Trinity University,http://www.trinitytigers.com/sports/fball/2021-22/schedule,http://www.trinitytigers.com/sports/fball/2022-23/schedule
Tufts,Jumbos,"Medford, MA",NESCAC,1,Turf,5938,Tufts,https://tufts.prestosports.com/sports/fball/2021-22/schedule,https://tufts.prestosports.com/sports/fball/2022-23/schedule
Union,Dutchmen,"Schenectady, NY",LL,2,Turf,2157,Union (NY),http://www.unionathletics.com//sports/football/schedule/2021,http://www.unionathletics.com//sports/football/schedule/2022
University of New England,Nor'easters,"Biddeford, ME",CCC,1,Turf,2409,U New England,https://athletics.une.edu/sports/football/schedule/2021,https://athletics.une.edu/sports/football/schedule/2022
