PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
11,North Park,O,MILLIKIN,1,,1.0,1.0,0.0,10.0,-32.0,Gold Zone,Run,Rush,5.0,,,,,,,,Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:44,1424,0,0,0,3,3,3,,,,,,,
12,North Park,O,MILLIKIN,1,,1.0,2.0,2.0,5.0,-37.0,Gold Zone,Run,Rush,3.0,,,,,,,,Nieves,Landrau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:44,1424,0,0,0,3,3,3,,,,,,,
13,North Park,O,MILLIKIN,1,,1.0,3.0,3.0,2.0,-40.0,Gold Zone,Run,Rush,3.0,,,,,,,,Martin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:44,1424,0,0,0,3,3,3,,,,,,,
14,North Park,O,MILLIKIN,1,,1.0,4.0,1.0,10.0,-43.0,Gold Zone,Pass,Complete,34.0,,,Complete,,,,,Lanier,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:44,1424,0,0,0,3,3,3,,,,,,,
15,North Park,O,MILLIKIN,1,,1.0,5.0,1.0,10.0,23.0,Take A Shot,Run,Rush,14.0,,,,,,,,Nieves,Martin,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:44,1424,0,0,0,3,3,3,,,,,,,
16,North Park,O,MILLIKIN,1,,1.0,6.0,1.0,9.0,9.0,Red Zone,Run,Rush,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,08:44,1424,0,0,0,3,3,3,,,,,,,
17,North Park,K,MILLIKIN,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,05:44,1244,6,0,6,3,3,3,,,,,,,
18,North Park,K,MILLIKIN,1,,,,1.0,-35.0,-35.0,Gold Zone,KO,,,,,,,,,,,,,,,,,,,,,52.0,13.0,,,,,,,,,,,,,,,,,,,,05:44,1244,7,0,7,3,3,3,,,,,,,
19,North Park,D,NPU,1,,2.0,1.0,0.0,10.0,-13.0,Coming Out,Pass,Complete,5.0,,,Complete,,,,,Teodoro,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:44,1244,0,7,7,3,3,3,face mask,MILLIKIN,,,,,15.0
20,North Park,D,NPU,1,,2.0,2.0,1.0,10.0,-33.0,Gold Zone,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,7,7,3,3,3,,,,,,,
21,North Park,D,NPU,1,,2.0,3.0,2.0,10.0,-33.0,Gold Zone,Run,Rush,-4.0,,,,,,,,C. Vogt,Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,7,7,3,3,3,,,,,,,
22,North Park,D,NPU,1,,2.0,4.0,3.0,14.0,-29.0,Gold Zone,Pass,Incomplete,0.0,,,Incomplete,PENALTY Kalas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,05:44,1244,0,7,7,3,3,3,pass interference,MILLIKIN,,,,,4.0
23,North Park,D,NPU,1,,2.0,5.0,1.0,10.0,-33.0,Gold Zone,Run,Rush,6.0,,,,,,,,Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,7,7,3,3,3,,,,,,,
24,North Park,D,NPU,1,,2.0,6.0,2.0,4.0,-39.0,Gold Zone,Run,Rush,26.0,,,,,,,,Teicher,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:44,1244,0,7,7,3,3,3,,,,,,,
25,North Park,D,NPU,1,,2.0,7.0,1.0,10.0,35.0,Take A Shot,Run,Rush,4.0,,,,,,,,Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,7,7,3,3,3,,,,,,,
26,North Park,D,NPU,1,,2.0,8.0,2.0,6.0,31.0,Take A Shot,Run,Rush,4.0,,,,,,,,Lewis,C. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,7,7,3,3,3,,,,,,,
27,North Park,D,NPU,1,,2.0,9.0,3.0,2.0,27.0,Take A Shot,Run,Rush,-2.0,,,,,,,,A. Perkins,C. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,7,7,3,3,3,,,,,,,
28,North Park,D,NPU,1,,2.0,10.0,4.0,4.0,29.0,Take A Shot,Pass,Incomplete,0.0,,,Incomplete,,,,,Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,05:44,1244,0,7,7,3,3,3,,,,,,,
29,North Park,O,MILLIKIN,1,,2.0,1.0,0.0,10.0,-29.0,Gold Zone,Run,Rush,7.0,,,,,,,,Jaydin Miller,Landrau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:03,963,7,0,7,3,3,3,,,,,,,
30,North Park,O,MILLIKIN,1,,2.0,2.0,2.0,3.0,-36.0,Gold Zone,Pass,Complete,3.0,,,Complete,,,,,Nieves,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,01:03,963,7,0,7,3,3,3,,,,,,,
